row ID,row m/z,row retention time,0_AR_Blk_C18_Pos.mzML Peak area,1_AR_Arnica_C18_Pos.mzML Peak area,2_AR_Cinchona_C18_Pos.mzML Peak area,3_AR_Ginkgo_C18_Pos.mzML Peak area,4_AR_Panax_C18_Pos.mzML Peak area,5_AR_Salvia_C18_Pos.mzML Peak area
98,347.1842538655530,7.47172518,0.0,28047139.770741800,44785.83670562920,27365.29227471630,5117.817270586000,30174616.15762670
99,518.3237510774660,9.45496746,0.0,22384490.64036050,250013.57015645000,10551000.33854190,14443.99989106930,244982.5522379460
100,295.2267723029760,10.695092,51905.16911806720,32701491.43043480,31507377.374248400,6101854.581165010,7705854.760102460,21272992.775771200
101,295.2266650446450,10.620645833333300,121784.24022811500,29827756.715931900,6944341.7192905400,2961294.3225107500,36395516.36558380,3510218.0768006700
102,478.2924408391890,10.4598332,0.0,25457754.682923100,693638.9116209320,3290472.9440615400,2429803.716412030,11924.269615780500
103,287.0547433921340,2.780663225,0.0,26025864.153310200,85363.59542398890,3404766.048532380,0.0,189239.7592885770
104,180.0863404099870,0.196069782,0.0,21420379.017482700,275868.3797717620,1126374.4488388600,2454138.132624100,2098736.3689849900
105,413.16150526989300,5.6481929750000000,0.0,29960376.21600760,18570.416345367300,5447.092692802510,6366.9095737031900,0.0
106,183.99460491199600,0.23687074,0.0,26291599.08519240,29689950.52550780,22902850.25518310,24244172.921079000,27154623.77500570
107,640.3462125613180,10.185370000000000,0.0,30680093.009297400,86067.23424902420,1397954.0537407100,652628.9204390360,0.0
108,322.0454789460430,2.818414075,0.0,21951107.129368800,0.0,5855275.561848640,37793.35863843800,724610.1533910700
109,366.22706333315700,7.272348700000000,0.0,25497421.71549890,0.0,0.0,0.0,22033.14474453500
110,398.19343563698700,6.330704366666670,0.0,23956952.969140700,5276.818992673630,0.0,0.0,32527.74984867170
111,515.3213539411770,10.453608,0.0,24196198.69833530,137294.75155939300,49524218.70554500,202507.1990213950,0.0
112,289.16407663403200,2.65018125,0.0,17601285.393660800,0.0,0.0,0.0,39117.47360289220
113,349.2000101317610,7.353896666666670,3131.495001779440,28466408.239306500,33336.03259731710,27626.980530703400,46147.908838699600,103942.73978280400
114,471.08971475905900,2.804379866666670,0.0,22567679.22053830,0.0,4596692.686061270,0.0,386911.5951269280
115,277.1376678600370,10.458265400000000,0.0,23105232.91055330,181145.1514879650,46662682.70579970,256031.4285123320,191280.54637013600
116,532.3479558165450,10.452682000000000,0.0,22689926.875911500,153838.7193710430,43262416.90642890,196543.76737262700,81996.240483748
117,537.303327745464,10.434517,4335.428443594630,26255782.70958880,145546.4242711490,48884865.33514180,222402.94527533100,0.0
118,218.04233784070100,0.17715251,0.0,5609408.418314510,0.0,143950.28312720900,762534.3075909560,435010.88970782800
119,327.10254317962800,2.7647411,0.0,16224218.426694600,0.0,0.0,0.0,0.0
120,275.1309079964770,2.22138428,0.0,17426122.939523300,201021.320745732,16011343.503206600,7990.2143188475500,7888802.318107590
121,197.1171322206920,2.2760661,633653.9489592690,19021071.639530800,267320.53876409700,15836058.937160800,50363.838733732700,8454515.488186290
122,295.2268319495890,10.945233666666700,167578.29614500400,25925709.5738207,8821759.094685920,2036426.687332940,36951303.60735340,4414064.081109370
123,261.0631743483850,3.26821938,0.0,18091362.26324890,8102.44554674985,22108.83979169840,81259.6357098721,4346784.418572550
124,558.1193296324970,2.2253964,0.0,21446237.89101150,0.0,135114.44040829600,0.0,0.0
125,524.1822944236950,2.1776999000000000,0.0,14682958.798759500,0.0,8398.704253499900,0.0,0.0
